epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.995,1.23578,2.57891,1.52056,0.41681,0.19503,0.17638,0.10902,1.49203,3.0823,1.86498,0.00010405,0.00010405,0.00010405
2,270.221,1.33075,2.03941,1.57114,0.37547,0.15211,0.14457,0.08137,1.77187,3.52215,2.05356,0.000200131,0.000200131,0.000200131
3,400.364,1.35592,2.04851,1.59491,0.39976,0.16104,0.1804,0.1001,1.72346,3.5532,2.0392,0.000287949,0.000287949,0.000287949
4,530.318,1.34158,1.99955,1.59534,0.34293,0.15413,0.17465,0.10948,1.69227,3.71199,1.9887,0.000275816,0.000275816,0.000275816
5,660.303,1.27581,1.86035,1.52787,0.37244,0.18746,0.19704,0.12023,1.65171,3.79196,1.93069,0.000263421,0.000263421,0.000263421
6,790.182,1.2258,1.74799,1.50074,0.4249,0.18495,0.23383,0.13773,1.49585,3.41814,1.78769,0.000251026,0.000251026,0.000251026
7,920.02,1.17567,1.65951,1.45503,0.40667,0.23646,0.23413,0.15199,1.49926,3.39825,1.82037,0.000238631,0.000238631,0.000238631
8,1049.92,1.15726,1.60364,1.4397,0.48403,0.23818,0.27348,0.18142,1.44225,3.19768,1.74671,0.000226236,0.000226236,0.000226236
9,1179.74,1.1216,1.52188,1.42458,0.45928,0.22477,0.27938,0.19381,1.42129,3.24233,1.73034,0.000213842,0.000213842,0.000213842
10,1309.59,1.10526,1.47822,1.41274,0.42875,0.25111,0.28182,0.19447,1.41024,3.30186,1.7164,0.000201447,0.000201447,0.000201447
11,1439.4,1.08182,1.42578,1.39081,0.40116,0.29536,0.27172,0.18651,1.39257,3.34135,1.71232,0.000189052,0.000189052,0.000189052
12,1569.21,1.04867,1.34595,1.36586,0.38755,0.27774,0.31552,0.21149,1.43533,3.41775,1.73991,0.000176657,0.000176657,0.000176657
13,1698.98,1.02361,1.29566,1.3434,0.46203,0.25867,0.28859,0.19479,1.46742,3.30673,1.75056,0.000164262,0.000164262,0.000164262
14,1828.8,1.00709,1.24969,1.32596,0.40698,0.291,0.29958,0.21623,1.36428,3.24556,1.69174,0.000151868,0.000151868,0.000151868
15,1958.79,0.98208,1.20421,1.31063,0.46635,0.33403,0.32457,0.22433,1.3662,3.22098,1.68966,0.000139473,0.000139473,0.000139473
16,2088.86,0.93345,1.04445,1.32263,0.49594,0.2532,0.3262,0.22196,1.31241,3.2078,1.66528,0.000127078,0.000127078,0.000127078
17,2218.38,0.90122,0.96276,1.29726,0.41871,0.3182,0.32464,0.22887,1.31048,3.13038,1.67158,0.000114683,0.000114683,0.000114683
18,2347.88,0.8697,0.92664,1.27549,0.40537,0.33654,0.32909,0.2339,1.33293,3.24773,1.67492,0.000102288,0.000102288,0.000102288
19,2477.34,0.84067,0.86203,1.25007,0.45662,0.30845,0.34166,0.24299,1.3303,3.23205,1.67365,8.98936e-05,8.98936e-05,8.98936e-05
20,2606.77,0.82521,0.81906,1.23733,0.39158,0.36595,0.3488,0.2473,1.308,3.21116,1.6506,7.74988e-05,7.74988e-05,7.74988e-05
21,2736.27,0.79766,0.75546,1.21389,0.44877,0.34676,0.36204,0.25612,1.30955,3.13661,1.64291,6.5104e-05,6.5104e-05,6.5104e-05
22,2865.74,0.77502,0.71808,1.20148,0.37303,0.38276,0.35853,0.2495,1.30414,3.22271,1.65995,5.27092e-05,5.27092e-05,5.27092e-05
23,2995.14,0.74895,0.6709,1.17641,0.40615,0.3795,0.36765,0.2578,1.34943,3.15809,1.70204,4.03144e-05,4.03144e-05,4.03144e-05
24,3124.56,0.73313,0.64058,1.16574,0.38871,0.40473,0.37026,0.2621,1.32015,3.20278,1.66511,2.79196e-05,2.79196e-05,2.79196e-05
25,3253.95,0.70876,0.59536,1.14413,0.3956,0.38886,0.37617,0.26381,1.30627,3.18109,1.66315,1.55248e-05,1.55248e-05,1.55248e-05
